algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.168,30.555,0.943,0.943,0.943,0.943,0.943,0.934,0.897,0.934,0.057,0.057,0.148,0.531,0.729,0.944,89.374
Linear Regression,0.025,1.615,0.380,0.417,0.380,0.346,0.358,0.310,0.261,0.278,0.620,0.620,1.382,3.971,1.993,0.260,20.541
Logistic Regression,0.097,128.142,0.642,0.687,0.642,0.626,0.636,0.592,0.534,0.583,0.358,0.358,1.108,4.811,2.194,0.538,9.021
KNN,222.989,0.330,0.947,0.948,0.947,0.947,0.947,0.939,0.903,0.938,0.053,0.053,0.141,0.520,0.721,0.951,89.594
Random Forest,7.438,406.654,0.957,0.958,0.957,0.957,0.957,0.950,0.921,0.950,0.043,0.043,0.112,0.396,0.630,0.959,92.074
MLP,0.561,1702.343,0.873,0.875,0.873,0.871,0.873,0.854,0.791,0.853,0.127,0.127,0.377,1.612,1.270,0.866,67.748
Bagging,0.775,82.212,0.954,0.954,0.954,0.954,0.954,0.947,0.915,0.947,0.046,0.046,0.121,0.432,0.657,0.956,91.360
J48,0.068,16.403,0.944,0.944,0.944,0.944,0.944,0.935,0.898,0.935,0.056,0.056,0.147,0.528,0.726,0.945,89.442
ANN,13.101,254.729,0.713,0.723,0.713,0.695,0.696,0.672,0.591,0.666,0.287,0.287,0.882,3.881,1.970,0.640,23.316
DNN,17.576,268.190,0.817,0.818,0.817,0.812,0.814,0.790,0.714,0.789,0.183,0.183,0.572,2.539,1.593,0.794,49.353
Gradient Boosting,5.551,3430.864,0.903,0.904,0.903,0.902,0.903,0.889,0.837,0.888,0.097,0.097,0.263,1.055,1.027,0.901,78.897
XGBoost,1.791,66.540,0.943,0.943,0.943,0.942,0.943,0.934,0.897,0.934,0.057,0.057,0.148,0.542,0.736,0.944,89.172
Gaussian Naive Bayes,0.470,0.609,0.578,0.667,0.578,0.550,0.579,0.541,0.473,0.516,0.422,0.422,1.570,7.743,2.783,0.506,-54.510
Adaptive Gradient Boosting,17.399,1466.717,0.830,0.834,0.830,0.831,0.832,0.802,0.740,0.802,0.170,0.170,0.465,1.862,1.365,0.812,62.759
QDA,0.699,1.370,0.108,0.065,0.108,0.064,0.064,0.000,0.036,0.000,0.892,0.892,3.783,19.751,4.444,0.111,-80.048
SNN,21.453,363.692,0.860,0.860,0.860,0.857,0.858,0.838,0.771,0.838,0.140,0.140,0.427,1.854,1.362,0.848,62.915
RBM,19.363,307.521,0.244,0.060,0.244,0.096,0.070,0.000,0.060,0.000,0.756,0.756,1.796,5.517,2.349,0.111,0.000
LSTM,62.731,3594.524,0.878,0.879,0.878,0.876,0.877,0.859,0.796,0.859,0.122,0.122,0.360,1.534,1.239,0.874,69.314
reconstruction_NN,22.412,331.679,0.820,0.824,0.820,0.817,0.820,0.793,0.720,0.792,0.180,0.180,0.569,2.522,1.588,0.798,49.614
DANN,24.971,360.255,0.825,0.830,0.825,0.820,0.824,0.799,0.722,0.798,0.175,0.175,0.554,2.465,1.570,0.802,51.033
DBN,2.005,816.723,0.525,0.524,0.525,0.457,0.463,0.500,0.400,0.431,0.475,0.475,1.302,4.547,2.132,0.337,10.623
DBM,19.953,340.351,0.856,0.858,0.856,0.854,0.855,0.835,0.767,0.834,0.144,0.144,0.434,1.882,1.372,0.844,62.338
DA,21.140,552.756,0.877,0.880,0.877,0.876,0.878,0.859,0.797,0.858,0.123,0.123,0.370,1.593,1.262,0.875,68.160
PassiveAggressiveClassifier,0.082,30.941,0.629,0.637,0.629,0.627,0.631,0.569,0.516,0.568,0.371,0.371,1.154,5.034,2.244,0.538,-0.176
RidgeClassifier,0.063,1.225,0.595,0.639,0.595,0.543,0.546,0.550,0.455,0.524,0.405,0.405,1.050,4.013,2.003,0.466,21.183
NearestCentroid,0.095,0.366,0.481,0.530,0.481,0.444,0.474,0.429,0.340,0.396,0.519,0.519,1.706,8.091,2.845,0.384,-43.963
CSLR,0.070,53.188,0.689,0.712,0.689,0.669,0.675,0.647,0.569,0.640,0.311,0.311,1.169,5.751,2.398,0.619,-7.109
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,1.834,63.532,0.507,0.416,0.507,0.428,0.418,0.497,0.389,0.409,0.493,0.493,1.315,4.527,2.128,0.311,11.940
GRU,8.212,458.052,0.772,0.774,0.772,0.767,0.770,0.738,0.656,0.736,0.228,0.228,0.696,2.990,1.729,0.738,40.552
Stochastic_gradient,0.017,2.881,0.667,0.682,0.667,0.668,0.675,0.617,0.562,0.615,0.333,0.333,0.965,3.974,1.994,0.596,20.839
Extra Trees Classifier,0.621,11.151,0.920,0.921,0.920,0.920,0.920,0.907,0.861,0.907,0.080,0.080,0.217,0.829,0.911,0.920,83.432
Feed Forward Neural Networks,3.478,59.319,0.804,0.808,0.804,0.800,0.804,0.775,0.697,0.773,0.196,0.196,0.623,2.752,1.659,0.774,45.431
Fuzzy,0.100,13.153,0.113,0.186,0.113,0.122,0.148,0.021,0.067,0.020,0.887,0.887,3.370,16.675,4.084,0.113,-233.059
EDLNs,12.165,302.121,0.802,0.807,0.802,0.799,0.802,0.772,0.695,0.771,0.198,0.198,0.628,2.765,1.663,0.772,45.120
GMM,63.465,3.253,0.713,0.713,0.713,0.692,0.699,0.673,0.589,0.668,0.287,0.287,0.965,4.578,2.140,0.656,9.336
Bernoulli Naive Bayes,0.020,0.092,0.514,0.613,0.514,0.457,0.470,0.460,0.368,0.436,0.486,0.486,1.750,8.602,2.933,0.420,-67.301
CatBoost,0.111,179.491,0.911,0.912,0.911,0.911,0.911,0.898,0.847,0.897,0.089,0.089,0.254,1.038,1.019,0.912,79.263
Centralised Blending,0.000,32.509,0.835,0.833,0.835,0.826,0.828,0.809,0.723,0.806,0.165,0.165,0.295,0.843,0.918,0.815,83.197
BLoCNet,2.970,74.250,0.789,0.793,0.789,0.784,0.788,0.757,0.680,0.756,0.211,0.211,0.672,2.973,1.724,0.753,41.078
constructive_learning,0.014,1.278,0.899,0.899,0.899,0.899,0.899,0.883,0.830,0.883,0.101,0.101,0.266,0.996,0.998,0.895,80.128
AIS,0.430,24.762,0.921,0.922,0.921,0.921,0.921,0.909,0.862,0.909,0.079,0.079,0.214,0.833,0.913,0.921,83.354
GBBK,0.027,0.075,0.574,0.671,0.574,0.549,0.581,0.545,0.473,0.512,0.426,0.426,1.682,8.600,2.933,0.502,-55.373
GE SVM,39.693,56.747,0.743,0.755,0.743,0.728,0.736,0.707,0.625,0.701,0.257,0.257,0.742,2.899,1.703,0.685,46.098
Hidden Naive Bayes (HNB),0.019,0.072,0.574,0.671,0.574,0.549,0.581,0.545,0.473,0.512,0.426,0.426,1.682,8.600,2.933,0.502,-55.373
